,unicode,font,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,100,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,255,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,255,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,255,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,255,96,0,0,0,0,0,0,0,0,0,0,0,19,143,224,248,211,94,140,255,96,0,0,0,0,0,0,0,0,0,0,21,219,255,200,140,174,254,228,255,96,0,0,0,0,0,0,0,0,0,0,153,255,142,1,0,0,84,255,255,96,0,0,0,0,0,0,0,0,0,5,241,242,8,0,0,0,0,186,255,96,0,0,0,0,0,0,0,0,0,41,255,194,0,0,0,0,0,124,255,96,0,0,0,0,0,0,0,0,0,58,255,179,0,0,0,0,0,105,255,96,0,0,0,0,0,0,0,0,0,39,255,196,0,0,0,0,0,128,255,96,0,0,0,0,0,0,0,0,0,4,235,245,13,0,0,0,0,182,255,96,0,0,0,0,0,0,0,0,0,0,137,255,159,4,0,0,78,255,255,96,0,0,0,0,0,0,0,0,0,0,9,201,255,209,143,175,253,218,255,96,0,0,0,0,0,0,0,0,0,0,0,10,129,219,248,220,111,108,255,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,101,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,115,208,246,242,192,81,0,0,0,0,0,0,0,0,0,0,0,0,8,193,255,209,144,148,229,255,133,0,0,0,0,0,0,0,0,0,0,0,137,255,147,2,0,0,13,203,255,64,0,0,0,0,0,0,0,0,0,3,240,244,6,0,0,0,0,71,255,167,0,0,0,0,0,0,0,0,0,42,255,233,128,128,128,128,128,140,255,219,0,0,0,0,0,0,0,0,0,59,255,255,255,255,255,255,255,255,255,237,0,0,0,0,0,0,0,0,0,46,255,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,245,239,11,0,0,0,0,39,142,91,0,0,0,0,0,0,0,0,0,0,149,255,155,4,0,0,8,191,255,122,0,0,0,0,0,0,0,0,0,0,13,204,255,215,148,145,222,255,190,9,0,0,0,0,0,0,0,0,0,0,0,9,121,209,246,240,206,112,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,102,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,193,243,244,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,225,255,178,134,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,255,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,144,255,232,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,255,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,103,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,134,220,248,222,125,66,255,128,0,0,0,0,0,0,0,0,0,0,13,208,255,208,142,166,251,219,255,128,0,0,0,0,0,0,0,0,0,0,138,255,160,3,0,0,63,253,255,128,0,0,0,0,0,0,0,0,0,3,235,245,19,0,0,0,0,161,255,128,0,0,0,0,0,0,0,0,0,38,255,205,0,0,0,0,0,97,255,128,0,0,0,0,0,0,0,0,0,58,255,180,0,0,0,0,0,70,255,128,0,0,0,0,0,0,0,0,0,44,255,195,0,0,0,0,0,84,255,128,0,0,0,0,0,0,0,0,0,4,241,244,10,0,0,0,0,143,255,128,0,0,0,0,0,0,0,0,0,0,141,255,149,2,0,0,55,245,255,128,0,0,0,0,0,0,0,0,0,0,13,211,255,206,142,170,250,233,255,125,0,0,0,0,0,0,0,0,0,0,0,17,144,226,250,221,119,112,255,114,0,0,0,0,0,0,0,0,0,0,35,10,0,0,0,0,0,133,255,83,0,0,0,0,0,0,0,0,0,0,203,254,39,0,0,0,27,230,247,20,0,0,0,0,0,0,0,0,0,0,93,255,240,159,134,159,239,254,103,0,0,0,0,0,0,0,0,0,0,0,0,67,177,227,249,232,177,65,0,0,0,0,0,0
4,104,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,85,123,217,249,230,155,21,0,0,0,0,0,0,0,0,0,0,0,160,255,232,241,157,142,218,255,211,5,0,0,0,0,0,0,0,0,0,0,160,255,232,30,0,0,10,224,255,64,0,0,0,0,0,0,0,0,0,0,160,255,128,0,0,0,0,149,255,99,0,0,0,0,0,0,0,0,0,0,160,255,89,0,0,0,0,128,255,111,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,105,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,128,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,106,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,255,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,255,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,175,254,242,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,245,206,61,0,0,0,0,0,0,0,0,0
7,107,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,7,183,255,166,4,0,0,0,0,0,0,0,0,0,0,160,255,80,0,7,182,255,157,2,0,0,0,0,0,0,0,0,0,0,0,160,255,80,6,180,255,147,1,0,0,0,0,0,0,0,0,0,0,0,0,160,255,86,179,255,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,228,255,254,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,255,172,255,219,10,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,134,0,164,255,146,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,19,233,254,64,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,86,255,222,12,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,175,255,152,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,25,238,255,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,108,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,109,Arial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,255,32,131,223,248,219,112,0,42,179,241,236,180,39,0,0,0,0,0,160,255,204,233,148,150,244,255,144,242,192,138,192,255,223,9,0,0,0,0,160,255,230,23,0,0,87,255,255,137,0,0,1,195,255,72,0,0,0,0,160,255,132,0,0,0,24,255,254,13,0,0,0,137,255,105,0,0,0,0,160,255,92,0,0,0,12,255,232,0,0,0,0,128,255,112,0,0,0,0,160,255,80,0,0,0,12,255,224,0,0,0,0,128,255,112,0,0,0,0,160,255,80,0,0,0,12,255,224,0,0,0,0,128,255,112,0,0,0,0,160,255,80,0,0,0,12,255,224,0,0,0,0,128,255,112,0,0,0,0,160,255,80,0,0,0,12,255,224,0,0,0,0,128,255,112,0,0,0,0,160,255,80,0,0,0,12,255,224,0,0,0,0,128,255,112,0,0,0,0,160,255,80,0,0,0,12,255,224,0,0,0,0,128,255,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
